mission_id,frame,label_idx,pixel_x,pixel_y,heading_label_deg,lat,lon,axis_bearing_deg
F1,1,0,1718,1221,339.0,-0.003367835588032045,36.881939588413665,-77.82087867891693
F1,1,1,1636,1424,313.0,-0.003402113428145717,36.88196334460031,-103.99001128803664
F1,1,2,1938,1356,139.0,-0.003346726061317358,36.88198381665766,82.04743691984233
F1,1,3,2190,1109,252.0,-0.0032806733689262567,36.88197067552262,-164.99651287831918
F1,2,0,1718,1177,349.0,-0.0033624718986953483,36.88193365982613,-67.76552521462587
F1,2,1,1872,1224,288.0,-0.0033427431068547646,36.8819570739095,-129.0882111322088
F1,2,2,1946,1314,140.0,-0.003340291464903286,36.88197903424169,83.05395027016094
F1,2,3,1658,1386,322.0,-0.003393856871957636,36.881960647412846,-94.93286112872464
F1,3,0,1748,1174,309.0,-0.003356784902742003,36.88193535021674,-108.01286714181018
F1,3,1,1762,1229,290.0,-0.003360279959393082,36.88194553713071,-127.08495614139538
F1,3,2,1970,1323,140.0,-0.0033368150947822484,36.88198200956743,83.053950263461
F1,3,3,1663,1375,330.0,-0.003391334013979907,36.88195847801833,-86.87914872477471
F1,4,0,1754,1185,340.0,-0.003356894268025305,36.8819374928869,-76.81478698589939
F1,4,1,1767,1238,298.0,-0.0033603407414190354,36.88194725853041,-119.06311929839316
F1,4,2,1979,1325,144.0,-0.003335506381477189,36.881983033200285,87.08048915844512
F1,4,3,1669,1369,320.0,-0.0033896710404548937,36.881957920126666,-96.94604972860047
F1,5,0,1762,1188,294.0,-0.003355994252107971,36.88193847268777,-123.07575517234524
F1,5,1,1773,1243,285.0,-0.0033599690903311458,36.881948348929846,-132.09136713576373
F1,5,2,1976,1325,157.0,-0.0033360527989856207,36.88198239730113,100.16665368697394
F1,5,3,1663,1369,319.0,-0.003390697239535453,36.88195697355562,-97.95256307113111
F1,6,0,1696,1174,303.0,-0.0033651454035054287,36.881928651576835,-114.04287056357414
F1,6,1,1759,1243,274.0,-0.003362263600948006,36.881946136790596,-143.08498396667437
F1,6,2,1970,1328,143.0,-0.0033373806577488524,36.881981490190014,86.0737978915109
F1,6,3,1650,1364,333.0,-0.003392310546841532,36.881954070690774,-83.85920213385145
F1,7,0,1699,1177,287.0,-0.0033649303987623564,36.881931582822865,-130.0894948013104
F1,7,1,1740,1235,271.0,-0.0033644201869363604,36.88194504235367,-146.0784397533388
F1,7,2,1968,1336,114.0,-0.003338486565079368,36.88198469793243,56.92424485524328
F1,7,3,1652,1364,319.0,-0.003391942703617102,36.881956421809775,-97.95256307846212
F1,8,0,1652,1361,318.0,-0.003391790220680698,36.88195749404567,-98.95901177694324
F1,8,1,1746,1238,281.0,-0.0033639336721997945,36.881947689072845,-136.09230791459365
F1,8,2,1696,1172,279.0,-0.003365049186950025,36.88193202667371,-138.09137319957114
F1,8,3,1970,1328,132.0,-0.0033374929516414888,36.88198518300005,75.00409087848375
F1,9,0,1682,1174,284.0,-0.003366145723581855,36.881932703901164,-133.09195365935517
F1,9,1,1737,1243,295.0,-0.0033645433385501434,36.88194936065653,-122.0729098502187
F1,9,2,1959,1331,122.0,-0.0033382139619252496,36.88198632975598,64.95270838806992
F1,9,3,1652,1364,317.0,-0.0033907520318666113,36.881959779931904,-99.96538788476614
F1,10,0,1685,1172,281.0,-0.00336582557454304,36.88193420782292,-136.0923079527056
F1,10,1,1718,1235,261.0,-0.0033671160563628483,36.881947633178214,-156.0431267532697
F1,10,2,1652,1364,306.0,-0.0033911201748479634,36.88196129089492,-111.02857849550178
F1,10,3,1968,1331,117.0,-0.003337142760190171,36.881988772734694,59.93341186533201
F1,11,0,1682,1177,287.0,-0.0033658580802724087,36.88193361977448,-130.08949480127475
F1,11,1,1696,1243,286.0,-0.003370499944387759,36.88194555411081,-131.09054720039245
F1,11,2,1647,1353,306.0,-0.0033898044513744844,36.88195795402664,-111.02857849536571
F1,11,3,1968,1339,129.0,-0.003337008250019403,36.88198897192789,71.98713283895441
F1,12,0,1970,1336,132.0,-0.003335547342535638,36.88198767098684,75.00409089233018
F1,12,1,1630,1350,311.0,-0.003391382160514223,36.8819546854969,-106.00168903801546
F1,12,2,1699,1232,275.0,-0.0033680450679211237,36.88194308587444,-142.0867192670449
F1,12,3,1674,1180,306.0,-0.00336662197603984,36.881932236399905,-111.02857849365226
F1,13,0,1682,1172,297.0,-0.003365854809434821,36.88193306516159,-120.06658810581732
F1,13,1,1663,1227,292.0,-0.00337462746337939,36.88193983468465,-125.08079756925606
F1,13,2,1644,1350,304.0,-0.0033904894725570837,36.881957406454994,-113.03827425643345
F1,13,3,1968,1331,133.0,-0.003336692213509825,36.88198794074525,76.00998871135657
F1,14,0,1965,1339,121.0,-0.0033360809987145836,36.881988099649405,63.94846796955746
F1,14,1,1639,1347,290.0,-0.0033890513046791115,36.88195561082219,-127.08495617467582
F1,14,2,1655,1232,262.0,-0.0033745031188656847,36.881938999232574,-155.0475186966029
F1,14,3,1671,1169,274.0,-0.003365376204701077,36.881930648184984,-143.08498396630367
F1,15,0,1669,1174,285.0,-0.0033667398651474516,36.88193091465069,-132.09136717111784
F1,15,1,1647,1232,263.0,-0.0033763050663362143,36.881937850071594,-154.05173201570253
F1,15,2,1636,1353,254.0,-0.0033906791475401994,36.881955932587175,-163.00785864239455
F1,15,3,1968,1336,119.0,-0.00333581098141526,36.88198761304899,61.94054934428064
F1,16,0,1973,1334,121.0,-0.0033339951142303662,36.88198761979585,63.948467969608316
F1,16,1,1628,1356,228.0,-0.0033914636099546406,36.881955387372024,171.1586355755048
